Address,City,State,Zip,links
14 W 65th St,Chicago,IL,60621,"https://www.zillow.com/homes/14-W-65th-St,Chicago-IL-60621_rb"
125 E 117th Pl,Chicago,IL,60628,"https://www.zillow.com/homes/125-E-117th-Pl,Chicago-IL-60628_rb"
6601 S Carpenter St,Chicago,IL,60621,"https://www.zillow.com/homes/6601-S-Carpenter-St,Chicago-IL-60621_rb"
6353 S Wolcott Ave,Chicago,IL,60636,"https://www.zillow.com/homes/6353-S-Wolcott-Ave,Chicago-IL-60636_rb"
6428 S Rhodes Ave,Chicago,IL,60637,"https://www.zillow.com/homes/6428-S-Rhodes-Ave,Chicago-IL-60637_rb"
11808 S Wallace St,Chicago,IL,60628,"https://www.zillow.com/homes/11808-S-Wallace-St,Chicago-IL-60628_rb"
12023 S Parnell Ave #1,Chicago,IL,60628,"https://www.zillow.com/homes/12023-S-Parnell-Ave-#1,Chicago-IL-60628_rb"
14610 Justine St,Harvey,IL,60426,"https://www.zillow.com/homes/14610-Justine-St,Harvey-IL-60426_rb"
3050 E 93rd St,Chicago,IL,60617,"https://www.zillow.com/homes/3050-E-93rd-St,Chicago-IL-60617_rb"
8320 S Buffalo Ave,Chicago,IL,60617,"https://www.zillow.com/homes/8320-S-Buffalo-Ave,Chicago-IL-60617_rb"
510 Garfield Ave,Calumet City,IL,60409,"https://www.zillow.com/homes/510-Garfield-Ave,Calumet-City-IL-60409_rb"
2 E 114th Pl,Chicago,IL,60628,"https://www.zillow.com/homes/2-E-114th-Pl,Chicago-IL-60628_rb"
1500 Lowe Ave,Chicago Heights,IL,60411,"https://www.zillow.com/homes/1500-Lowe-Ave,Chicago-Heights-IL-60411_rb"
1730 E 158th St #B,South Holland,IL,60473,"https://www.zillow.com/homes/1730-E-158th-St-#B,South-Holland-IL-60473_rb"
639 E 142nd St,Dolton,IL,60419,"https://www.zillow.com/homes/639-E-142nd-St,Dolton-IL-60419_rb"
14620 Jefferson St,Harvey,IL,60426,"https://www.zillow.com/homes/14620-Jefferson-St,Harvey-IL-60426_rb"
810 Sibley Blvd #2,Calumet City,IL,60409,"https://www.zillow.com/homes/810-Sibley-Blvd-#2,Calumet-City-IL-60409_rb"
28 E 120th Pl,Chicago,IL,60628,"https://www.zillow.com/homes/28-E-120th-Pl,Chicago-IL-60628_rb"
3052 E 79th Pl,Chicago,IL,60617,"https://www.zillow.com/homes/3052-E-79th-Pl,Chicago-IL-60617_rb"
638 E 92nd Pl #1,Chicago,IL,60619,"https://www.zillow.com/homes/638-E-92nd-Pl-#1,Chicago-IL-60619_rb"
2724 N Mobile Ave,Chicago,IL,60639,"https://www.zillow.com/homes/2724-N-Mobile-Ave,Chicago-IL-60639_rb"
9345 S University Ave #1,Chicago,IL,60619,"https://www.zillow.com/homes/9345-S-University-Ave-#1,Chicago-IL-60619_rb"
6329 S Evans Ave,Chicago,IL,60637,"https://www.zillow.com/homes/6329-S-Evans-Ave,Chicago-IL-60637_rb"
1828 N Keeler Ave,Chicago,IL,60639,"https://www.zillow.com/homes/1828-N-Keeler-Ave,Chicago-IL-60639_rb"
400 Pulaski Rd,Calumet City,IL,60409,"https://www.zillow.com/homes/400-Pulaski-Rd,Calumet-City-IL-60409_rb"
7810 S Drexel Ave,Chicago,IL,60619,"https://www.zillow.com/homes/7810-S-Drexel-Ave,Chicago-IL-60619_rb"
3234 W 139th St,Robbins,IL,60472,"https://www.zillow.com/homes/3234-W-139th-St,Robbins-IL-60472_rb"
3230 W 139th St,Robbins,IL,60472,"https://www.zillow.com/homes/3230-W-139th-St,Robbins-IL-60472_rb"
5050 W 29th Pl,Cicero,IL,60804,"https://www.zillow.com/homes/5050-W-29th-Pl,Cicero-IL-60804_rb"
7614 S Normal Ave,Chicago,IL,60620,"https://www.zillow.com/homes/7614-S-Normal-Ave,Chicago-IL-60620_rb"
5627 S Perry Ave #1,Chicago,IL,60621,"https://www.zillow.com/homes/5627-S-Perry-Ave-#1,Chicago-IL-60621_rb"
423 Jefferson St,Dolton,IL,60419,"https://www.zillow.com/homes/423-Jefferson-St,Dolton-IL-60419_rb"
134 W 118th St,Chicago,IL,60628,"https://www.zillow.com/homes/134-W-118th-St,Chicago-IL-60628_rb"
15705 Tulip,Harvey,IL,60426,"https://www.zillow.com/homes/15705-Tulip,Harvey-IL-60426_rb"
179 E 147th St,Harvey,IL,60426,"https://www.zillow.com/homes/179-E-147th-St,Harvey-IL-60426_rb"
191 E 147th St,Harvey,IL,60426,"https://www.zillow.com/homes/191-E-147th-St,Harvey-IL-60426_rb"
13832 Park Ave,Dolton,IL,60419,"https://www.zillow.com/homes/13832-Park-Ave,Dolton-IL-60419_rb"
8040 S South Shore Dr,Chicago,IL,60617,"https://www.zillow.com/homes/8040-S-South-Shore-Dr,Chicago-IL-60617_rb"
4248 W Armitage Ave,Chicago,IL,60639,"https://www.zillow.com/homes/4248-W-Armitage-Ave,Chicago-IL-60639_rb"
